model_class,acc,kwargs
XGBClassifier,0.8412887828162291,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8496420047732697,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8389021479713604,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8245823389021479,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8568019093078759,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 1, 'eta': 0.6, 'subsample': 1}"
XGBClassifier,0.8615751789976134,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.5}"
XGBClassifier,0.8520286396181385,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 0.8}"
XGBClassifier,0.8532219570405728,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.1, 'subsample': 1}"
XGBClassifier,0.8532219570405728,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.5}"
XGBClassifier,0.8544152744630071,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 0.8}"
XGBClassifier,0.8579952267303103,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.3, 'subsample': 1}"
XGBClassifier,0.8162291169451074,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.5}"
XGBClassifier,0.8329355608591885,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 0.8}"
XGBClassifier,0.8520286396181385,"{'n_estimators': 400, 'max_depth': 8, 'min_child_weight': 4, 'eta': 0.6, 'subsample': 1}"
